,NA_OTU1,Russula_OTU1,Tomentella_parmastoana_OTU1,Tomentella_OTU2,NA_OTU2,NA_OTU3,Lactarius_OTU1,NA_OTU4,Tomentella_OTU3,NA_OTU5,Tomentella_OTU4,NA_OTU6,Scleroderma_OTU1,Cladosporium_sphaerospermum_OTU1,NA_OTU7,Cryptococcus_laurentii_OTU1,Kurtzmanomyces_OTU1,Tomentella_OTU5,Tomentella_OTU6,Yarrowia_lipolytica_OTU1,Yarrowia_lipolytica_OTU2,NA_OTU8,NA_OTU9,NA_OTU10,Tomentella_OTU7,NA_OTU11,NA_OTU12,NA_OTU13,NA_OTU14,NA_OTU15,NA_OTU16,Tomentella_OTU8,NA_OTU17,Tomentella_OTU9,Tomentella_OTU10,Kurtzmanomyces_OTU2,NA_OTU18,Tomentella_OTU11,NA_OTU19,NA_OTU20,NA_OTU21,NA_OTU22,NA_OTU23,Tomentella_OTU12,NA_OTU24,NA_OTU25,NA_OTU26,NA_OTU27,NA_OTU28,NA_OTU29,Ceratobasidium_OTU1,NA_OTU30,NA_OTU31,NA_OTU32,NA_OTU33,NA_OTU34,NA_OTU35,Pyrenochaeta_OTU1,Russula_violeipes_OTU2,NA_OTU36,Penicillium_astrolabium_OTU1,Cryptococcus_uniguttulatus_OTU2,Schizophyllum_commune_OTU1,Cryptococcus_laurentii_OTU3,NA_OTU37,NA_OTU38,Phaeosphaeria_OTU1,NA_OTU39,Russula_OTU3,Vanrija_humicola_OTU1,Lopharia_cinerascens_OTU1,Fusarium_solani_OTU1,NA_OTU40,NA_OTU41,Malassezia_restricta_OTU1,Debaryomyces_hansenii_OTU1,NA_OTU42,Clavulina_OTU1,NA_OTU43,Inocybe_OTU1,NA_OTU44,Scleroderma_OTU2,NA_OTU45,Knufia_OTU1,NA_OTU46,NA_OTU47,Tomentella_OTU13,NA_OTU48,Asterodon_ferruginosus_OTU1,NA_OTU49
ZH25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG11,0,0,0.381944444444444,0,0,0,0.0231481481481481,0,0,0,0.462962962962963,0.0856481481481482,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025462962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG12,0,0.371069182389937,0,0,0,0,0,0,0,0,0.465408805031447,0.163522012578616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG13,0,0.747645951035782,0,0,0,0,0.00423728813559322,0,0,0,0.170433145009416,0.0343691148775895,0,0.00753295668549906,0.00141242937853107,0,0,0,0.0127118644067797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282485875706215,0,0,0,0,0,0,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470809792843691,0,0,0,0
BG14,0,0.0522078555745304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740668455720908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680653818004391,0,0,0,0,0,0.000731885825811174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138326421078312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG24,0,0.114093959731544,0,0.369127516778524,0,0,0,0,0.187919463087248,0,0,0.0402684563758389,0,0,0,0.0268456375838926,0,0,0.261744966442953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG25,0,0,0,0,0,0,0.613382899628253,0,0,0,0.256505576208178,0,0,0,0,0,0,0.0371747211895911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743494423791822,0,0.00557620817843866,0,0,0,0,0,0.0315985130111524,0,0,0,0,0,0.00371747211895911,0,0,0.00743494423791822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00929368029739777,0,0,0,0,0,0,0,0,0.0278810408921933,0,0,0,0,0
YP11,0,0,0,0,0,0,0,0,0,0,0,0,0.845360824742268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11340206185567,0,0.0412371134020619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP13,0,0,0,0,0,0,0.887410926365796,0,0,0,0,0,0.0622327790973872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142517814726841,0,0,0.0489311163895487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP14,0,0,0,0,0,0,0.945232273838631,0,0,0,0,0,0.0127139364303178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410757946210269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00097799511002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP15,0,0,0,0,0,0,0.00346981263011797,0,0,0.0988896599583622,0,0,0.789382373351839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357390700902151,0,0.0725190839694656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP21,0,0.582441903356695,0,0,0,0,0,0,0,0,0,0,0.0625230542235338,0,0,0,0,0,0,0,0,0,0,0,0,0.000553301364810033,0.353928439690151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000553301364810033,0,0,0,0,0,0,0,0,0,0,0,0
YP22,0,0,0,0,0,0,0.951792024230187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403836446239273,0,0,0,0,0,0,0,0,0.0441696113074205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP23,0,0,0,0,0,0,0.637886597938144,0,0,0,0,0,0.25451030927835,0.00708762886597938,0.00418814432989691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161082474226804,0,0,0,0,0,0,0,0,0,0,0,0,0.00193298969072165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193298969072165,0,0,0,0.000966494845360825,0.0170747422680412,0,0.00128865979381443,0,0,0,0,0,0.00708762886597938,0,0.0637886597938144,0,0,0,0.000644329896907216,0,0,0,0,0,0
YP24,0,0,0,0,0,0,0.85632183908046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622605363984674,0,0,0,0,0,0,0,0.135057471264368,0,0,0,0,0,0,0,0,0,0,0,0,0.00239463601532567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH24,0.0473372781065089,0,0,0,0,0,0.408284023668639,0,0,0,0,0,0,0.0355029585798817,0,0,0,0,0,0,0,0,0,0,0.497041420118343,0,0,0,0,0,0,0,0,0,0,0.0118343195266272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG21,0.0459081836327345,0,0,0,0,0,0,0,0,0,0,0,0,0.0219560878243513,0.0119760479041916,0,0,0,0,0,0,0.18562874251497,0.652694610778443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818363273453094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG22,0,0,0,0,0,0,0.355932203389831,0,0,0,0,0,0,0.101694915254237,0.0338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11864406779661,0,0,0,0,0,0,0.254237288135593,0,0,0,0,0,0,0,0,0,0,0,0.135593220338983,0,0,0,0,0,0,0,0
BA14,0,0,0,0,0,0,0.857627118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372881355932203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105084745762712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
